選挙区,定員,立候補者氏名,"立候補者氏名
（かな）",性別,年齢,党派,新 現 元,ウェブサイト
,,市川勝斗,いちかわ　まさと,男,40,自由民主党,新,http://ichikawa-m.jp
小金井市,,,,,,,,
,,漢人あきこ,かんど　あきこ,女,57,無所属,新,http://kandoakiko.com
,,朝倉法明,あさくら　のりあき,男,58,無所属,新,https://houmei1959.wixsite.com/asakurahoumei
,,うちこが宏,うちこが　ひろし,男,53,無所属,新,http://uchikoga.com
,,広瀬まき,ひろせ　まき,女,35,自由民主党,新,http://hirose-maki.jp
,,つじの栄作,つじの　えいさく,男,48,都民ファーストの会,新,なし
小平市,,,,,,,,
,,高橋のぶひろ,たかはし　のぶひろ,男,70,自由民主党,現,http://nobuhiro-takahashi.net/
,,斉藤あつし,さいとう　あつし,男,50,民進党,現,http://saitoatsushi.com
,,鈴木大智,すずき　だいち,男,34,日本共産党,新,http://kouho.jcp-tokyo.net/suzuki/
,,佐野いくお,さの　いくお,男,61,都民ファーストの会,新,http://snipesano.la.coocan.jp/
日野市,,,,,,,,
,,新井ともはる,あらい　ともはる,男,44,無所属,現,http://www.arai-tomoharu.com
,,菅原直志,すがわら　なおし,男,49,都民ファーストの会,新,https://www.facebook.com/naoshi.sugawara
,,古賀俊昭,こが　としあき,男,69,自由民主党,現,なし
,,中野あきと,なかの　あきと,男,48,日本共産党,新,http://www.中野あきと.jp
西東京市,,,,,,,,
,,山田忠昭,やまだ　ただあき,男,68,自由民主党,現,http://www.yamadatadaaki.net/
,,桐山ひとみ,きりやま　ひとみ,女,46,都民ファーストの会,新,http://kiriyamahitomi.tokyo
,,中村すぐる,なかむら　すぐる,男,30,日本共産党,新,http://blog.goo.ne.jp/nakamura-suguru
,,石毛しげる,いしげ　しげる,男,64,無所属,現,http://www.ishige.info
西多摩,,,,,,,,
,,清水やすこ,しみず　やすこ,女,50,都民ファーストの会,新,なし
,,西村まさと,にしむら　まさと,男,50,日本共産党,新,なし
,,田村利光,たむら　としみつ,男,50,自由民主党,新,http://www.tamuratoshimitsu.com
,,島田幸成,しまだ　ゆきなり,男,49,無所属,現,http://www.yukinari-shimada.net
南多摩,,,,,,,,
,,こいそ明,こいそ　あきら,男,65,自由民主党,現,http://www.a-koiso.com/main/
,,斉藤れいな,さいとう　れいな,女,38,都民ファーストの会,新,https://reina-saito.amebaownd.com
,,石川良一,いしかわ　りょういち,男,65,無所属,現,http://ryo1-inagi.com
,,菅原しげみ,すがわら　しげみ,女,68,日本共産党,新,なし
